country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
BG,2013,3135000.0,3110000.0,39168.7,,reported,10.575633237444327,,14.958139732049158
BG,2014,3192000.0,3004000.0,39540.6,,reported,10.585083271116305,,14.976158237551836
BG,2015,3011000.0,2960000.0,40884.0,7029690.0,reported,10.618494067448967,15.765653166086251,14.91778280746387
BG,2016,2881000.0,2877000.0,42121.4,6938759.0,reported,10.648311204062102,15.75263349804926,14.873648014066665
BG,2017,3080000.0,3071000.0,43278.0,6849518.0,reported,10.675399701731727,15.739688842799174,14.940440154949757
BG,2018,2862000.0,2859000.0,44286.5,6757418.0,reported,10.698435169184114,15.726151422393928,14.867031239098534
BG,2019,3080000.0,3071000.0,45966.4,6664177.0,reported,10.735665973791162,15.712257023100339,14.940440154949757
BG,2020,2829000.0,2673000.0,44526.2,6569275.0,reported,10.703833058945726,15.697914034295673,14.855433850283704
BG,2021,3058000.0,3038000.0,48011.7,6532117.0,reported,10.779200010187823,15.692241644730817,14.933271665471144
BG,2022,3157000.0,2919000.0,49972.5,6482484.0,reported,10.819228133104803,15.684614328208339,14.965132767540128
BG,2023,3156000.0,2155000.0,50812.8,6447710.0,reported,10.835903570331778,15.679235586971084,14.964815960947902
CH,2004,4900000.0,4899000.0,549636.3,,reported,13.217012065744136,,15.404745763080856
CH,2005,4940000.0,4940000.0,565862.1,,reported,13.246105687924405,,15.412875889164106
CH,2006,5330000.0,5330000.0,589256.6,,reported,13.286617021414479,,15.488861796142027
CH,2007,5465000.0,5465000.0,612727.9,,reported,13.325676233828467,,15.513874679592776
CH,2008,5653000.0,5653000.0,628239.7,,reported,13.350677060524129,,15.547696935657427
CH,2009,5461000.0,5461000.0,616083.8,,reported,13.331138272224235,,15.51314248113429
CH,2010,5565000.0,5565000.0,636172.0,,reported,13.363224246011459,,15.532007542691781
CH,2011,5478000.0,5478000.0,645127.2,,reported,13.377202785637037,,15.51625062880516
CH,2012,5576000.0,5576000.0,652379.3,,reported,13.388381420225008,,15.533982231422497
CH,2013,5708000.0,5708000.0,664357.8,,reported,13.40657613874981,,15.557379257578864
CH,2014,6006000.0,6006000.0,681255.2,,reported,13.431692257957982,,15.608269527525414
CH,2015,6030000.0,6030000.0,691164.1,8237666.0,reported,13.446132556465717,15.924227609334924,15.612257568703368
CH,2016,6050000.0,6050000.0,704376.3,8327126.0,reported,13.465068009382284,15.935028936603416,15.615568830007025
CH,2017,5992000.0,5992000.0,714380.9,8419550.0,reported,13.479171572464736,15.946066940609796,15.605935804179193
CH,2018,6012000.0,6012000.0,738151.4,8484130.0,reported,13.511904231593912,15.953707917510183,15.609268029855002
CH,2019,6079000.0,6079000.0,746384.2,8544527.0,reported,13.522995760016837,15.960801518991547,15.62035076673086
CH,2020,6096000.0,6096000.0,729551.3,8606033.0,reported,13.500184966610943,15.967974026907376,15.623143376348619
CH,2021,6130000.0,6130000.0,774610.1,8670300.0,reported,13.560115084965647,15.975413950234211,15.628705307912394
CH,2022,5943000.0,5943000.0,801987.1,8738791.0,reported,13.59484780193126,15.983282408543857,15.597724614348797
CH,2023,6027000.0,6027000.0,808608.0,8815385.0,reported,13.6030695297832,15.992009048413394,15.611759932465182
CY,2004,498000.0,498000.0,16235.7,,reported,9.694967800330577,,13.11835535600679
CY,2005,508000.0,508000.0,17023.6,,reported,9.742355895624728,,13.138236726560619
CY,2006,522000.0,522000.0,17826.0,,reported,9.788413344690662,,13.165422866864775
CY,2007,540000.0,540000.0,18734.8,,reported,9.838138035963976,,13.199324418540456
CY,2008,573000.0,573000.0,19418.1,,reported,9.873960899777783,,13.258640995696876
CY,2009,589000.0,589000.0,19026.8,,reported,9.853603790606588,,13.286181462633724
CY,2010,590000.0,563000.0,19461.1,,reported,9.876172880350055,,13.287877815881902
CY,2011,589000.0,542000.0,19542.2,,reported,9.880331508818923,,13.286181462633724
CY,2012,588000.0,542000.0,18868.5,,reported,9.845249143947036,,13.284482226880764
CY,2013,547000.0,511000.0,17625.6,,reported,9.777107669654226,,13.212204081404119
CY,2014,527000.0,481000.0,17312.5,,reported,9.759184062929695,,13.1749558275235
CY,2015,540000.0,500000.0,17904.4,860846.0,reported,9.79280177167837,13.665670905623573,13.199324418540456
CY,2016,553000.0,516000.0,19081.4,863764.0,reported,9.856469317572499,13.669054862326295,13.223113280504473
CY,2017,551000.0,516000.0,20178.7,869878.0,reported,9.912382871614492,13.676108250912579,13.219490088135052
CY,2018,576000.0,494000.0,21444.3,878601.0,reported,9.973214154776823,13.686086148697537,13.263862939678027
CY,2019,586000.0,485000.0,22704.3,890194.0,reported,10.030309612843181,13.699194695482763,13.281075068559149
CY,2020,558000.0,467000.0,21973.0,902429.0,reported,9.997569705897266,13.712845295734388,13.232114241363448
CY,2021,585000.0,450000.0,24477.4,914476.0,reported,10.105505521835344,13.726106502619583,13.279367126213993
CY,2022,615000.0,469000.0,26616.4,929764.0,reported,10.189282846139639,13.742686069485188,13.329377546788654
CY,2023,633000.0,504000.0,27580.0,949084.0,reported,10.224846151347293,13.763252587900412,13.358225701126313
CZ,2004,2841000.0,2396000.0,3359301.4,,reported,15.027243593655054,,14.859666660836325
CZ,2005,2954000.0,2495000.0,3573457.8,,reported,15.089044256421749,,14.898670742073461
CZ,2006,3039000.0,2659000.0,3810134.1,,reported,15.153174943333882,,14.92703907189893
CZ,2007,3025000.0,2817000.0,4019265.7,,reported,15.206609782218983,,14.92242164944708
CZ,2008,3176000.0,2757000.0,4124259.7,,reported,15.232397094978182,,14.971133101349164
CZ,2009,3310000.0,2894000.0,3926364.4,,reported,15.18322446662796,,15.012458747353246
CZ,2010,3334000.0,3186000.0,4032952.0,,reported,15.210009171974612,,15.019683342292875
CZ,2011,3358000.0,3346000.0,4104431.3,,reported,15.227577752903496,,15.026856116619623
CZ,2012,3233000.0,3233000.0,4072799.7,,reported,15.219841207910862,,14.98892105670757
CZ,2013,3228000.0,3228000.0,4071096.8,,reported,15.219423005143963,,14.987373308371977
CZ,2014,3261000.0,3261000.0,4162501.5,,reported,15.241626773631133,,14.997544454771456
CZ,2015,3337000.0,3337000.0,4368909.9,10538275.0,reported,15.290024085152831,16.170524425444274,15.02058275773351
CZ,2016,3580000.0,3580000.0,4481665.8,10553843.0,reported,15.315505365636534,16.17200061696066,15.090873358376884
CZ,2017,5177000.0,4950000.0,4713527.7,10578820.0,reported,15.365947166538106,16.174364446983436,15.459736295884039
CZ,2018,5248000.0,5029000.0,4846935.0,10610055.0,reported,15.393857104380672,16.177312694365607,15.473357609606062
CZ,2019,5338000.0,5146000.0,5019765.9,10649800.0,reported,15.428893857114403,16.181051670600652,15.490361608946607
CZ,2020,5814000.0,5881000.0,4753473.3,10693939.0,reported,15.374386129851594,16.185187690341387,15.575779360100958
CZ,2021,5991000.0,6103000.0,4944991.7,10494836.0,reported,15.413885844574446,16.166393884625972,15.605768901066062
CZ,2022,5854000.0,5800000.0,5085784.0,10516707.0,reported,15.441959754538162,16.168475693458284,15.582635746233969
CZ,2023,5840000.0,5845000.0,5088203.8,10827529.0,reported,15.44243543823136,16.197602430432607,15.580241354804409
